Number,Pokemon,Type 1,Type 2,HP,Attack,Defense,Speed,Special,GIF,PNG,Description
41,Zubat,Poison,Flying,40,45,35,55,40,https://play.pokemonshowdown.com/sprites/bwani/zubat.gif,https://play.pokemonshowdown.com/sprites/bw/zubat.png,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,Poison,Flying,75,80,70,90,75,https://play.pokemonshowdown.com/sprites/bwani/golbat.gif,https://play.pokemonshowdown.com/sprites/bw/golbat.png,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,Grass,Poison,45,50,55,30,75,https://play.pokemonshowdown.com/sprites/bwani/oddish.gif,https://play.pokemonshowdown.com/sprites/bw/oddish.png,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,Grass,Poison,60,65,70,40,85,https://play.pokemonshowdown.com/sprites/bwani/gloom.gif,https://play.pokemonshowdown.com/sprites/bw/gloom.png,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,Vileplume,Grass,Poison,75,80,85,50,100,https://play.pokemonshowdown.com/sprites/bwani/vileplume.gif,https://play.pokemonshowdown.com/sprites/bw/vileplume.png,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up."
46,Paras,Bug,Grass,35,70,55,25,55,https://play.pokemonshowdown.com/sprites/bwani/paras.gif,https://play.pokemonshowdown.com/sprites/bw/paras.png,Burrows to suck tree roots. The mushrooms on its back grow by drawing nutrients from the bug host.
47,Parasect,Bug,Grass,60,95,80,30,80,https://play.pokemonshowdown.com/sprites/bwani/parasect.gif,https://play.pokemonshowdown.com/sprites/bw/parasect.png,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,Bug,Poison,60,55,50,45,40,https://play.pokemonshowdown.com/sprites/bwani/venonat.gif,https://play.pokemonshowdown.com/sprites/bw/venonat.png,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
49,Venomoth,Bug,Poison,70,65,60,90,90,https://play.pokemonshowdown.com/sprites/bwani/venomoth.gif,https://play.pokemonshowdown.com/sprites/bw/venomoth.png,The dust-like scales covering its wings are color coded to indicate the kinds of poison it has.
50,Diglett,Ground,,10,55,25,95,45,https://play.pokemonshowdown.com/sprites/bwani/diglett.gif,https://play.pokemonshowdown.com/sprites/bw/diglett.png,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.
51,Dugtrio,Ground,,35,80,50,120,70,https://play.pokemonshowdown.com/sprites/bwani/dugtrio.gif,https://play.pokemonshowdown.com/sprites/bw/dugtrio.png,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.
52,Meowth,Normal,,40,45,35,90,40,https://play.pokemonshowdown.com/sprites/bwani/meowth.gif,https://play.pokemonshowdown.com/sprites/bw/meowth.png,Adores circular objects. Wanders the streets on a nightly basis to look for dropped loose change.
53,Persian,Normal,,65,70,60,115,65,https://play.pokemonshowdown.com/sprites/bwani/persian.gif,https://play.pokemonshowdown.com/sprites/bw/persian.png,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness."
54,Psyduck,Water,,50,52,48,55,50,https://play.pokemonshowdown.com/sprites/bwani/psyduck.gif,https://play.pokemonshowdown.com/sprites/bw/psyduck.png,"While lulling its enemies with its vacant look, this wily Pokemon will use psychokinetic powers."
55,Golduck,Water,,80,82,78,85,80,https://play.pokemonshowdown.com/sprites/bwani/golduck.gif,https://play.pokemonshowdown.com/sprites/bw/golduck.png,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa."
56,Mankey,Fighting,,40,80,35,70,35,https://play.pokemonshowdown.com/sprites/bwani/mankey.gif,https://play.pokemonshowdown.com/sprites/bw/mankey.png,Extremely quick to anger. It could be docile one moment then thrashing away the next instant.
57,Primeape,Fighting,,65,105,60,95,60,https://play.pokemonshowdown.com/sprites/bwani/primeape.gif,https://play.pokemonshowdown.com/sprites/bw/primeape.png,Always furious and tenacious to boot. It will not abandon chasing its quarry until it is caught.
58,Growlithe,Fire,,55,70,45,60,50,https://play.pokemonshowdown.com/sprites/bwani/growlithe.gif,https://play.pokemonshowdown.com/sprites/bw/growlithe.png,Very protective of its territory. It will bark and bite to repel intruders from its space.
59,Arcanine,Fire,,90,110,80,95,80,https://play.pokemonshowdown.com/sprites/bwani/arcanine.gif,https://play.pokemonshowdown.com/sprites/bw/arcanine.png,A Pokemon that has been admired since the past for its beauty. It runs agilely as if on wings.
60,Poliwag,Water,,40,50,40,90,40,https://play.pokemonshowdown.com/sprites/bwani/poliwag.gif,https://play.pokemonshowdown.com/sprites/bw/poliwag.png,Its newly grown legs prevent it from running. It appears to prefer swimming than trying to stand.
61,Poliwhirl,Water,,65,65,65,90,50,https://play.pokemonshowdown.com/sprites/bwani/poliwhirl.gif,https://play.pokemonshowdown.com/sprites/bw/poliwhirl.png,"Capable of living in or out of water. When out of water, it sweats to keep its body slimy."
62,Poliwrath,Water,Fighting,90,85,95,70,70,https://play.pokemonshowdown.com/sprites/bwani/poliwrath.gif,https://play.pokemonshowdown.com/sprites/bw/poliwrath.png,An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.
63,Abra,Psychic,,25,20,15,90,105,https://play.pokemonshowdown.com/sprites/bwani/abra.gif,https://play.pokemonshowdown.com/sprites/bw/abra.png,"Using its ability to read minds, it will identify impending danger and TELEPORT to safety."
64,Kadabra,Psychic,,40,35,30,105,120,https://play.pokemonshowdown.com/sprites/bwani/kadabra.gif,https://play.pokemonshowdown.com/sprites/bw/kadabra.png,It emits special alpha waves from its body that induce headaches just by being close by.
65,Alakazam,Psychic,,55,50,45,120,135,https://play.pokemonshowdown.com/sprites/bwani/alakazam.gif,https://play.pokemonshowdown.com/sprites/bw/alakazam.png,"Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5,000."
66,Machop,Fighting,,70,80,50,35,35,https://play.pokemonshowdown.com/sprites/bwani/machop.gif,https://play.pokemonshowdown.com/sprites/bw/machop.png,Loves to build its muscles. It trains in all styles of martial arts to become even stronger.
67,Machoke,Fighting,,80,100,70,45,50,https://play.pokemonshowdown.com/sprites/bwani/machoke.gif,https://play.pokemonshowdown.com/sprites/bw/machoke.png,"Its muscular body is so powerful, it must wear a power save belt to be able to regulate its motions."
68,Machamp,Fighting,,90,130,80,55,65,https://play.pokemonshowdown.com/sprites/bwani/machamp.gif,https://play.pokemonshowdown.com/sprites/bw/machamp.png,"Using its heavy muscles, it throws powerful punches that can send the victim clear over the horizon."
69,Bellsprout,Grass,Poison,50,75,35,40,70,https://play.pokemonshowdown.com/sprites/bwani/bellsprout.gif,https://play.pokemonshowdown.com/sprites/bw/bellsprout.png,A carnivorous Pokemon that traps and eats bugs. It uses its root feet to soak up needed moisture.
70,Weepinbell,Grass,Poison,65,90,50,55,85,https://play.pokemonshowdown.com/sprites/bwani/weepinbell.gif,https://play.pokemonshowdown.com/sprites/bw/weepinbell.png,It spits out POISONPOWDER to immobilize the enemy and then finishes it with a spray of ACID.
71,Victreebel,Grass,Poison,80,105,65,70,100,https://play.pokemonshowdown.com/sprites/bwani/victreebel.gif,https://play.pokemonshowdown.com/sprites/bw/victreebel.png,"Said to live in huge colonies deep in jungles, although no one has ever returned from there."
72,Tentacool,Water,Poison,40,40,35,70,100,https://play.pokemonshowdown.com/sprites/bwani/tentacool.gif,https://play.pokemonshowdown.com/sprites/bw/tentacool.png,Drifts in shallow seas. Anglers who hook them by accident are often punished by its stinging acid.
73,Tentacruel,Water,Poison,80,70,65,100,120,https://play.pokemonshowdown.com/sprites/bwani/tentacruel.gif,https://play.pokemonshowdown.com/sprites/bw/tentacruel.png,"The tentacles are normally kept short. On hunts, they are extended to ensnare and immobilize prey."
74,Geodude,Rock,Ground,40,80,100,20,30,https://play.pokemonshowdown.com/sprites/bwani/geodude.gif,https://play.pokemonshowdown.com/sprites/bw/geodude.png,"Found in fields and mountains. Mistaking them for boulders, people often step or trip on them."
75,Graveler,Rock,Ground,55,95,115,35,45,https://play.pokemonshowdown.com/sprites/bwani/graveler.gif,https://play.pokemonshowdown.com/sprites/bw/graveler.png,Rolls down slopes to move. It rolls over any obstacle without slowing or changing its direction.
76,Golem,Rock,Ground,80,110,130,45,55,https://play.pokemonshowdown.com/sprites/bwani/golem.gif,https://play.pokemonshowdown.com/sprites/bw/golem.png,Its boulder-like body is extremely hard. It can easily withstand dynamite blasts without damage.
77,Ponyta,Fire,,50,85,55,90,65,https://play.pokemonshowdown.com/sprites/bwani/ponyta.gif,https://play.pokemonshowdown.com/sprites/bw/ponyta.png,Its hooves are 10 times harder than diamonds. It can trample anything completely flat in little time.
78,Rapidash,Fire,,65,100,70,105,80,https://play.pokemonshowdown.com/sprites/bwani/rapidash.gif,https://play.pokemonshowdown.com/sprites/bw/rapidash.png,"Very competitive, this Pokemon will chase anything that moves fast in the hopes of racing it."
79,Slowpoke,Water,Psychic,90,65,65,15,40,https://play.pokemonshowdown.com/sprites/bwani/slowpoke.gif,https://play.pokemonshowdown.com/sprites/bw/slowpoke.png,Incredibly slow and dopey. It takes 5 seconds for it to feel pain when under attack.
80,Slowbro,Water,Psychic,95,75,110,30,80,https://play.pokemonshowdown.com/sprites/bwani/slowbro.gif,https://play.pokemonshowdown.com/sprites/bw/slowbro.png,The SHELLDER that is latched onto SLOWPOKE's tail is said to feed on the host's left over scraps.
81,Magnemite,Electric,,25,35,70,45,95,https://play.pokemonshowdown.com/sprites/bwani/magnemite.gif,https://play.pokemonshowdown.com/sprites/bw/magnemite.png,Uses anti-gravity to stay suspended. Appears without warning and uses THUNDER WAVE and similar moves.
82,Magneton,Electric,,50,60,95,70,120,https://play.pokemonshowdown.com/sprites/bwani/magneton.gif,https://play.pokemonshowdown.com/sprites/bw/magneton.png,Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.
83,Farfetch'd,Normal,Flying,52,65,55,60,58,http://play.pokemonshowdown.com/sprites/bwani/farfetchd.gif,https://play.pokemonshowdown.com/sprites/bw/farfetchd.png,The sprig of green onions it holds is its weapon. It is used much like a metal sword.
84,Doduo,Normal,Flying,35,85,45,75,35,https://play.pokemonshowdown.com/sprites/bwani/doduo.gif,https://play.pokemonshowdown.com/sprites/bw/doduo.png,A bird that makes up for its poor flying with its fast foot speed. Leaves giant footprints.
85,Dodrio,Normal,Flying,60,110,70,100,60,https://play.pokemonshowdown.com/sprites/bwani/dodrio.gif,https://play.pokemonshowdown.com/sprites/bw/dodrio.png,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake."
86,Seel,Water,,65,45,55,45,70,https://play.pokemonshowdown.com/sprites/bwani/seel.gif,https://play.pokemonshowdown.com/sprites/bw/seel.png,The protruding horn on its head is very hard. It is used for bashing through thick ice.
87,Dewgong,Water,Ice,90,70,80,70,95,https://play.pokemonshowdown.com/sprites/bwani/dewgong.gif,https://play.pokemonshowdown.com/sprites/bw/dewgong.png,Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.
88,Grimer,Poison,,80,80,50,25,40,https://play.pokemonshowdown.com/sprites/bwani/grimer.gif,https://play.pokemonshowdown.com/sprites/bw/grimer.png,Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.
89,Muk,Poison,,105,105,75,50,65,https://play.pokemonshowdown.com/sprites/bwani/muk.gif,https://play.pokemonshowdown.com/sprites/bw/muk.png,"Thickly covered with a filthy, vile sludge. It is so toxic, even its footprints contain poison."
90,Shellder,Water,,30,65,100,40,45,https://play.pokemonshowdown.com/sprites/bwani/shellder.gif,https://play.pokemonshowdown.com/sprites/bw/shellder.png,Its hard shell repels any kind of attack. It is vulnerable only when its shell is open.
91,Cloyster,Water,Ice,50,95,180,70,85,https://play.pokemonshowdown.com/sprites/bwani/cloyster.gif,https://play.pokemonshowdown.com/sprites/bw/cloyster.png,"When attacked, it launches its horns in quick volleys. Its innards have never been seen."
92,Gastly,Ghost,Poison,30,35,30,80,100,https://play.pokemonshowdown.com/sprites/bwani/gastly.gif,https://play.pokemonshowdown.com/sprites/bw/gastly.png,"Almost invisible, this gaseous Pokemon cloaks the target and puts it to sleep without notice."
93,Haunter,Ghost,Poison,45,50,45,95,115,https://play.pokemonshowdown.com/sprites/bwani/haunter.gif,https://play.pokemonshowdown.com/sprites/bw/haunter.png,"Because of its ability to slip through block walls, it is said to be from another dimension."
94,Gengar,Ghost,Poison,60,65,60,110,130,https://play.pokemonshowdown.com/sprites/bwani/gengar.gif,https://play.pokemonshowdown.com/sprites/bw/gengar.png,"Under a full moon, this Pokemon likes to mimic the shadows of people and laugh at their fright."
95,Onix,Rock,Ground,35,45,160,70,30,https://play.pokemonshowdown.com/sprites/bwani/onix.gif,https://play.pokemonshowdown.com/sprites/bw/onix.png,"As it grows, the stone portions of its body harden to become similar to a diamond, but colored black."
96,Drowzee,Psychic,,60,48,45,42,90,https://play.pokemonshowdown.com/sprites/bwani/drowzee.gif,https://play.pokemonshowdown.com/sprites/bw/drowzee.png,Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.
97,Hypno,Psychic,,85,73,70,67,115,https://play.pokemonshowdown.com/sprites/bwani/hypno.gif,https://play.pokemonshowdown.com/sprites/bw/hypno.png,"When it locks eyes with an enemy, it will use a mix of PSI moves such as HYPNOSIS and CONFUSION."
98,Krabby,Water,,30,105,90,50,25,https://play.pokemonshowdown.com/sprites/bwani/krabby.gif,https://play.pokemonshowdown.com/sprites/bw/krabby.png,"Its pincers are not only powerful weapons, they are used for balance when walking sideways."
99,Kingler,Water,,55,130,115,75,50,https://play.pokemonshowdown.com/sprites/bwani/kingler.gif,https://play.pokemonshowdown.com/sprites/bw/kingler.png,"The large pincer has 10000 hp of crushing power. However, its huge size makes it unwieldy to use."
100,Voltorb,Electric,,40,30,50,100,55,https://play.pokemonshowdown.com/sprites/bwani/voltorb.gif,https://play.pokemonshowdown.com/sprites/bw/voltorb.png,"Usually found in power plants. Easily mistaken for a Pokeball, they have zapped many people."
101,Electrode,Electric,,60,50,70,140,80,https://play.pokemonshowdown.com/sprites/bwani/electrode.gif,https://play.pokemonshowdown.com/sprites/bw/electrode.png,It stores electric energy under very high pressure. It often explodes with little or no provocation.
102,Exeggcute,Grass,Psychic,60,40,80,40,60,https://play.pokemonshowdown.com/sprites/bwani/exeggcute.gif,https://play.pokemonshowdown.com/sprites/bw/exeggcute.png,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms."
103,Exeggutor,Grass,Psychic,95,95,85,55,125,https://play.pokemonshowdown.com/sprites/bwani/exeggutor.gif,https://play.pokemonshowdown.com/sprites/bw/exeggutor.png,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE."
104,Cubone,Ground,,50,50,95,35,40,https://play.pokemonshowdown.com/sprites/bwani/cubone.gif,https://play.pokemonshowdown.com/sprites/bw/cubone.png,"Because it never removes its skull helmet, no one has ever seen this Pokemon's real face."
105,Marowak,Ground,,60,80,110,45,50,https://play.pokemonshowdown.com/sprites/bwani/marowak.gif,https://play.pokemonshowdown.com/sprites/bw/marowak.png,The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.
106,Hitmonlee,Fighting,,50,120,53,87,35,https://play.pokemonshowdown.com/sprites/bwani/hitmonlee.gif,https://play.pokemonshowdown.com/sprites/bw/hitmonlee.png,"When in a hurry, its legs lengthen progressively. It runs smoothly with extra long, loping strides."
107,Hitmonchan,Fighting,,50,105,79,76,35,https://play.pokemonshowdown.com/sprites/bwani/hitmonchan.gif,https://play.pokemonshowdown.com/sprites/bw/hitmonchan.png,"While apparently doing nothing, it fires punches in lightning fast volleys that are impossible to see."
108,Lickitung,Normal,,90,55,75,30,60,https://play.pokemonshowdown.com/sprites/bwani/lickitung.gif,https://play.pokemonshowdown.com/sprites/bw/lickitung.png,Its tongue can be extended like a chameleon's. It leaves a tingling sensation when it licks enemies.
109,Koffing,Poison,,40,65,95,35,60,https://play.pokemonshowdown.com/sprites/bwani/koffing.gif,https://play.pokemonshowdown.com/sprites/bw/koffing.png,"Because it stores several kinds of toxic gases in its body, it is prone to exploding without warning."
110,Weezing,Poison,,65,90,120,60,85,https://play.pokemonshowdown.com/sprites/bwani/weezing.gif,https://play.pokemonshowdown.com/sprites/bw/weezing.png,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years."
111,Rhyhorn,Ground,Rock,80,85,95,25,30,https://play.pokemonshowdown.com/sprites/bwani/rhyhorn.gif,https://play.pokemonshowdown.com/sprites/bw/rhyhorn.png,Its massive bones are 1000 times harder than human bones. It can easily knock a trailer flying.
112,Rhydon,Ground,Rock,105,130,120,40,45,https://play.pokemonshowdown.com/sprites/bwani/rhydon.gif,https://play.pokemonshowdown.com/sprites/bw/rhydon.png,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees."
113,Chansey,Normal,,250,5,5,50,105,https://play.pokemonshowdown.com/sprites/bwani/chansey.gif,https://play.pokemonshowdown.com/sprites/bw/chansey.png,A rare and elusive Pokemon that is said to bring happiness to those who manage to get it.
114,Tangela,Grass,,65,55,115,60,100,https://play.pokemonshowdown.com/sprites/bwani/tangela.gif,https://play.pokemonshowdown.com/sprites/bw/tangela.png,The whole body is swathed with wide vines that are similar to seaweed. Its vines shake as it walks.
115,Kangaskhan,Normal,,105,95,80,90,40,https://play.pokemonshowdown.com/sprites/bwani/kangaskhan.gif,https://play.pokemonshowdown.com/sprites/bw/kangaskhan.png,The infant rarely ventures out of its mother's protective pouch until it is 3 years old.
116,Horsea,Water,,30,40,70,60,70,https://play.pokemonshowdown.com/sprites/bwani/horsea.gif,https://play.pokemonshowdown.com/sprites/bw/horsea.png,Known to shoot down flying bugs with precision blasts of ink from the surface of the water.
117,Seadra,Water,,55,65,95,85,95,https://play.pokemonshowdown.com/sprites/bwani/seadra.gif,https://play.pokemonshowdown.com/sprites/bw/seadra.png,Capable of swimming backwards by rapidly flapping its wing-like pectoral fins and stout tail.
118,Goldeen,Water,,45,67,60,63,50,https://play.pokemonshowdown.com/sprites/bwani/goldeen.gif,https://play.pokemonshowdown.com/sprites/bw/goldeen.png,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen."
